Ngày,Đơn hàng,Doanh thu,Giảm giá,Doanh thu thuần,Vận chuyển,Giảm giá vận chuyển,Tổng hoá đơn,Đã thu,Hoàn trả,Tổng giá vốn,Tổng lợi nhuận,% lợi nhuận
17/03/2023,295,"118,068,000","-28,466,855","89,601,145","2,056,097",0,"91,657,242","87,394,242",0,"40,248,000","49,353,145",55.08%
18/03/2023,267,"116,739,400","-28,939,577","87,799,823","1,946,170",0,"89,745,993","84,393,993",0,"40,236,000","47,563,823",54.17%
19/03/2023,202,"85,748,000","-19,214,927","66,533,073","2,047,803",0,"68,580,876","65,712,576","-285,000","28,972,750","37,560,323",56.45%
20/03/2023,249,"112,034,000","-23,769,163","88,264,837","2,406,700",0,"90,671,537","84,395,437",0,"36,655,000","51,609,837",58.47%
21/03/2023,204,"92,030,500","-24,632,034","67,398,466","2,219,482",0,"69,617,948","62,418,348",0,"32,575,950","34,822,516",51.67%
22/03/2023,281,"113,497,000","-26,579,485","86,917,515","2,095,829",0,"89,013,344","87,182,344","-285,000","38,630,000","48,287,515",55.56%
23/03/2023,231,"102,034,000","-24,625,583","77,408,417","1,670,470",0,"79,078,887","73,797,887","-560,050","35,768,000","41,640,417",53.79%
24/03/2023,425,"179,032,000","-40,041,781","138,990,219","2,286,857",0,"141,277,076","134,911,476","-611,394","63,571,474","75,418,745",54.26%
25/03/2023,920,"375,272,560","-111,017,527","264,255,033","2,526,870",0,"266,781,903","264,125,203","-1,283,188","133,941,000","130,314,033",49.31%
26/03/2023,423,"172,241,000","-46,064,955","126,176,045","1,817,107",0,"127,993,152","124,785,152","-263,250","62,054,000","64,122,045",50.82%
27/03/2023,311,"127,500,000","-31,582,913","95,917,087","1,151,832",0,"97,068,919","93,734,919","-736,207","44,325,000","51,592,087",53.79%
28/03/2023,158,"65,872,450","-13,882,566","51,989,884","1,032,758",0,"53,022,642","51,092,642",0,"23,149,000","28,840,884",55.47%
29/03/2023,152,"68,331,700","-15,287,570","53,044,130","1,549,961",0,"54,594,091","52,018,091","-572,300","23,181,000","29,863,130",56.30%
30/03/2023,182,"87,523,500","-19,832,748","67,690,752","2,654,040",0,"70,344,792","66,033,292","-296,500","30,331,000","37,359,752",55.19%
31/03/2023,287,"127,632,250","-35,738,483","91,893,767","2,312,136",0,"94,205,903","90,000,903","-566,325","44,523,000","47,370,767",51.55%
01/04/2023,288,"132,743,000","-39,687,850","93,055,150","3,942,760",0,"96,997,910","86,285,110","-332,400","42,579,950","50,475,200",54.24%
02/04/2023,260,"123,243,000","-37,005,023","86,237,977","4,840,163",0,"91,078,140","83,286,440",0,"39,839,750","46,398,227",53.80%
03/04/2023,468,"197,085,000","-54,244,712","142,840,288","3,912,964",0,"146,753,252","138,259,752","-1,101,924","69,442,000","73,398,288",51.38%
04/04/2023,"1,069","461,458,329","-129,264,700","332,193,629","9,429,030",0,"341,622,659","332,843,659","-1,032,680","160,327,000","171,866,629",51.74%
05/04/2023,540,"236,446,400","-70,653,887","165,792,513","5,291,663",0,"171,084,176","156,800,276",0,"80,531,000","85,261,513",51.43%
06/04/2023,267,"128,712,752","-41,083,008","87,629,744","3,729,143",0,"91,358,887","85,179,787","-543,780","42,203,000","45,426,744",51.84%
07/04/2023,215,"106,736,000","-35,406,196","71,329,804","3,751,718",0,"75,081,522","67,719,722",0,"35,859,000","35,470,804",49.73%
08/04/2023,224,"104,210,500","-27,220,125","76,990,375","3,925,825",0,"80,916,200","75,552,600","-644,800","35,975,000","41,015,375",53.27%
09/04/2023,212,"103,407,500","-24,839,112","78,568,388","3,481,200",0,"82,049,588","75,393,588",0,"35,013,000","43,555,388",55.44%
10/04/2023,303,"145,718,450","-39,013,892","106,704,558","4,349,295",0,"111,053,853","105,740,753","-315,500","48,131,000","58,573,558",54.89%
11/04/2023,321,"148,734,380","-40,996,954","107,737,426","4,218,243",0,"111,955,669","104,337,769","-368,000","50,959,000","56,778,426",52.70%
12/04/2023,326,"137,378,200","-38,220,613","99,157,587","4,001,600",0,"103,159,187","96,070,187","-299,000","46,988,000","52,169,587",52.61%
13/04/2023,223,"101,307,050","-27,376,481","73,930,569","3,301,292",0,"77,231,861","72,376,161",0,"34,299,000","39,631,569",53.61%
14/04/2023,210,"95,691,350","-22,542,018","73,149,332","2,913,370",0,"76,062,702","71,637,602",0,"32,294,000","40,855,332",55.85%
15/04/2023,686,"290,474,026","-80,131,705","210,342,321","5,806,850",0,"216,149,171","209,661,371","-871,700","100,504,000","109,838,321",52.22%
16/04/2023,248,"117,367,076","-29,301,915","88,065,161","3,695,506",0,"91,760,667","85,927,867","-337,500","39,384,000","48,681,161",55.28%
17/04/2023,288,"132,944,526","-32,964,493","99,980,033","3,543,505",0,"103,523,538","97,986,038",0,"46,972,000","53,008,033",53.02%
18/04/2023,261,"120,069,500","-27,488,575","92,580,925","3,688,700",0,"96,269,625","84,943,425","-343,000","40,939,000","51,641,925",55.78%
19/04/2023,281,"130,413,950","-38,761,630","91,652,320","3,390,944",0,"95,043,264","87,522,564","-315,000","45,728,000","45,924,320",50.11%
20/04/2023,618,"261,858,000","-72,866,086","188,991,914","4,121,957",0,"193,113,871","188,849,371",0,"92,008,000","96,983,914",51.32%
21/04/2023,286,"133,117,750","-36,269,942","96,847,808","3,318,575",0,"100,166,383","94,190,883",0,"46,211,000","50,636,808",52.28%
22/04/2023,248,"109,756,000","-28,122,419","81,633,581","3,065,375",0,"84,698,956","78,646,956","-289,890","38,099,000","43,534,581",53.33%
23/04/2023,228,"102,419,000","-25,321,100","77,097,900","3,576,600",0,"80,674,500","72,808,000","-525,875","33,211,000","43,886,900",56.92%
24/04/2023,471,"207,556,000","-55,888,668","151,667,332","4,930,066",0,"156,597,398","146,158,798","-457,500","72,380,000","79,287,332",52.28%
25/04/2023,529,"239,028,250","-70,426,960","168,601,290","5,649,343",0,"174,250,633","166,876,733","-487,300","79,216,000","89,385,290",53.02%
26/04/2023,244,"106,048,476","-27,966,337","78,082,139","3,087,800",0,"81,169,939","76,449,939","-284,000","36,270,000","41,812,139",53.55%
27/04/2023,276,"117,348,000","-27,418,550","89,929,450","2,843,270",0,"92,772,720","74,897,820",0,"41,607,000","48,322,450",53.73%
28/04/2023,240,"106,724,950","-29,757,601","76,967,349","3,185,004",0,"80,152,353","54,655,153","-290,720","35,958,000","41,009,349",53.28%
29/04/2023,187,"92,159,000","-23,137,937","69,021,063","2,871,121",0,"71,892,184","45,456,484",0,"30,548,000","38,473,063",55.74%
30/04/2023,208,"93,644,000","-20,418,734","73,225,266","3,307,716",0,"76,532,982","57,481,482",0,"32,248,000","40,977,266",55.96%
01/05/2023,205,"96,185,000","-21,607,816","74,577,184","3,136,096",0,"77,713,280","69,053,380",0,"33,762,000","40,815,184",54.73%
02/05/2023,262,"121,118,900","-26,006,967","95,111,933","3,470,229",0,"98,582,162","87,665,362","-305,500","42,496,000","52,615,933",55.32%
03/05/2023,267,"118,334,950","-29,094,589","89,240,361","3,141,404",0,"92,381,765","80,153,265","-297,000","41,396,000","47,844,361",53.61%
04/05/2023,263,"114,776,250","-30,994,010","83,782,240","3,006,836",0,"86,789,076","83,137,476",0,"39,386,000","44,396,240",52.99%
05/05/2023,797,"340,695,000","-90,309,157","250,385,843","6,413,994",0,"256,799,837","253,612,837","-978,524","119,839,000","130,546,843",52.14%
06/05/2023,219,"96,648,560","-22,126,173","74,522,387","2,694,200",0,"77,216,587","73,044,387","-623,685","32,287,000","42,235,387",56.67%
07/05/2023,247,"114,157,000","-27,846,727","86,310,273","3,459,325",0,"89,769,598","82,271,898",0,"40,188,000","46,122,273",53.44%
08/05/2023,232,"107,831,750","-29,420,532","78,411,218","3,571,750",0,"81,982,968","74,240,868",0,"36,106,395","42,304,823",53.95%
09/05/2023,234,"113,111,900","-33,382,070","79,729,830","3,312,025",0,"83,041,855","77,191,755","-452,800","38,048,000","41,681,830",52.28%
10/05/2023,238,"114,533,150","-31,298,504","83,234,646","3,066,691",0,"86,301,337","78,517,237",0,"39,245,000","43,989,646",52.85%
11/05/2023,233,"104,684,000","-27,154,448","77,529,552","2,615,336",0,"80,144,888","77,035,188",0,"36,246,000","41,283,552",53.25%
12/05/2023,239,"107,359,900","-26,119,658","81,240,242","2,876,505",0,"84,116,747","79,112,047",0,"37,044,000","44,196,242",54.40%
13/05/2023,268,"114,412,875","-29,189,129","85,223,746","2,847,817",0,"88,071,563","86,932,313",0,"40,957,000","44,266,746",51.94%
14/05/2023,253,"109,642,900","-24,136,056","85,506,844","2,423,689",0,"87,930,533","83,039,033",0,"38,325,000","47,181,844",55.18%
15/05/2023,589,"254,270,950","-67,352,872","186,918,078","4,868,017",0,"191,786,095","189,641,495","-252,408","87,391,000","99,527,078",53.25%
16/05/2023,232,"115,645,450","-33,094,855","82,550,595","3,290,037",0,"85,840,632","83,103,632",0,"38,985,000","43,565,595",52.77%
17/05/2023,385,"163,239,000","-42,769,256","120,469,744","3,157,610",0,"123,627,354","118,089,494","-868,370","56,150,000","64,319,744",53.39%
18/05/2023,193,"86,858,900","-22,275,675","64,583,225","2,214,836",0,"66,798,061","62,441,781",0,"29,493,000","35,090,225",54.33%
19/05/2023,215,"92,520,900","-19,074,955","73,445,945","2,334,800",0,"75,780,745","72,926,445",0,"32,014,000","41,431,945",56.41%
20/05/2023,222,"91,680,750","-20,238,395","71,442,355","2,505,200",0,"73,947,555","70,301,555",0,"30,635,000","40,807,355",57.12%
21/05/2023,250,"107,622,000","-23,061,728","84,560,272","2,219,114",0,"86,779,386","82,595,886",0,"37,611,000","46,949,272",55.52%
22/05/2023,188,"91,360,000","-21,235,981","70,124,019","2,278,575",0,"72,402,594","68,199,594",0,"29,701,000","40,423,019",57.65%
23/05/2023,221,"96,322,500","-21,396,284","74,926,216","2,472,853",0,"77,399,069","73,816,569",0,"32,680,000","42,246,216",56.38%
24/05/2023,217,"93,707,250","-23,872,981","69,834,269","1,676,200",0,"71,510,469","69,612,969","-315,000","33,512,000","36,322,269",52.01%
25/05/2023,537,"225,384,620","-62,787,997","162,596,623","2,833,597",0,"165,430,220","162,017,720","-207,000","79,652,000","82,944,623",51.01%
26/05/2023,346,"141,539,000","-31,728,586","109,810,414","1,782,450",0,"111,592,864","108,182,364",0,"51,077,000","58,733,414",53.49%
27/05/2023,193,"83,863,500","-20,856,427","63,007,073","2,163,535",0,"65,170,608","62,826,908",0,"29,756,000","33,251,073",52.77%
28/05/2023,213,"92,554,500","-19,105,059","73,449,441","2,023,234",0,"75,472,675","72,591,875",0,"33,537,000","39,912,441",54.34%
29/05/2023,231,"96,952,000","-21,732,379","75,219,621","2,040,650",0,"77,260,271","73,668,271",0,"34,131,000","41,088,621",54.62%
30/05/2023,168,"74,780,000","-15,391,831","59,388,169","1,605,022",0,"60,993,191","58,127,291",0,"25,770,000","33,618,169",56.61%
31/05/2023,261,"108,993,000","-24,257,982","84,735,018","2,674,866",0,"87,409,884","84,042,284",0,"38,932,000","45,803,018",54.05%
01/06/2023,199,"90,217,000","-18,947,157","71,269,843","2,357,175",0,"73,627,018","66,847,518",0,"32,166,475","39,103,368",54.87%
02/06/2023,169,"77,101,000","-22,506,733","54,594,267","2,042,500",0,"56,636,767","53,080,267",0,"26,596,000","27,998,267",51.28%
03/06/2023,234,"115,143,250","-30,855,229","84,288,021","2,273,959",0,"86,561,980","81,385,980",0,"40,079,000","44,209,021",52.45%
04/06/2023,180,"81,310,250","-17,465,880","63,844,370","2,311,435",0,"66,155,805","60,064,305",0,"29,748,000","34,096,370",53.41%
05/06/2023,201,"87,097,400","-17,901,980","69,195,420","1,956,219",0,"71,151,639","67,926,139","-279,700","30,843,000","38,352,420",55.43%
06/06/2023,"1,221","529,953,150","-169,038,742","360,914,408","5,561,205",0,"366,475,613","360,941,613",0,"185,240,000","175,674,408",48.67%
07/06/2023,383,"173,191,150","-56,541,831","116,649,319","2,782,829",0,"119,432,148","116,386,648","-576,000","59,890,000","56,759,319",48.66%
08/06/2023,234,"110,647,800","-28,051,672","82,596,128","2,385,572",0,"84,981,700","82,863,200","-309,432","38,866,000","43,730,128",52.94%
09/06/2023,212,"94,957,300","-24,265,502","70,691,798","2,217,900",0,"72,909,698","67,627,198",0,"32,117,000","38,574,798",54.57%
10/06/2023,240,"104,083,700","-24,760,834","79,322,866","2,543,395",0,"81,866,261","79,358,261",0,"35,863,000","43,459,866",54.79%
11/06/2023,175,"78,202,850","-16,906,361","61,296,489","2,032,025",0,"63,328,514","59,528,014","-307,500","26,695,000","34,601,489",56.45%
12/06/2023,277,"118,655,300","-31,307,099","87,348,201","2,523,497",0,"89,871,698","88,031,698",0,"40,528,000","46,820,201",53.60%
13/06/2023,194,"93,102,600","-23,952,953","69,149,647","2,353,300",0,"71,502,947","67,121,347",0,"32,242,000","36,907,647",53.37%
14/06/2023,135,"59,778,000","-14,283,478","45,494,522","1,492,153",0,"46,986,675","44,813,175",0,"20,258,000","25,236,522",55.47%
15/06/2023,650,"287,652,800","-97,934,583","189,718,217","4,924,358",0,"194,642,575","190,108,275",0,"97,526,000","92,192,217",48.59%
16/06/2023,420,"178,405,150","-58,016,467","120,388,683","2,911,300",0,"123,299,983","118,474,983",0,"60,776,000","59,612,683",49.52%
17/06/2023,215,"99,394,250","-31,066,731","68,327,519","1,566,900",0,"69,894,419","62,718,319",0,"32,490,000","35,837,519",52.45%
18/06/2023,171,"75,634,750","-19,201,086","56,433,664","824,846",0,"57,258,510","52,944,510",0,"24,622,000","31,811,664",56.37%
19/06/2023,260,"112,920,200","-29,125,337","83,794,863","1,401,978",0,"85,196,841","80,098,541",0,"36,322,000","47,472,863",56.65%
20/06/2023,226,"99,923,000","-26,886,426","73,036,574","1,216,358",0,"74,252,932","71,135,932","-260,000","32,446,000","40,590,574",55.58%
21/06/2023,155,"72,423,000","-15,772,849","56,650,151","748,500",0,"57,398,651","53,954,551",0,"23,712,000","32,938,151",58.14%
22/06/2023,192,"90,904,000","-25,423,108","65,480,892","753,100",0,"66,233,992","62,794,992",0,"30,658,000","34,822,892",53.18%
23/06/2023,210,"97,145,000","-32,326,021","64,818,979","998,856",0,"65,817,835","61,414,835",0,"34,800,000","30,018,979",46.31%
24/06/2023,299,"124,795,750","-38,103,855","86,691,895","2,056,150",0,"88,748,045","86,616,045",0,"44,027,000","42,664,895",49.21%
25/06/2023,333,"144,105,050","-42,978,371","101,126,679","1,351,275",0,"102,477,954","97,916,954",0,"50,820,000","50,306,679",49.75%
26/06/2023,678,"269,890,700","-76,283,703","193,606,997","2,956,799",0,"196,563,796","193,440,296","-300,873","94,695,000","98,911,997",51.09%
27/06/2023,279,"121,818,000","-37,699,948","84,118,052","1,638,946",0,"85,756,998","82,831,998",0,"41,564,000","42,554,052",50.59%
28/06/2023,289,"126,140,900","-35,960,973","90,179,927","1,744,145",0,"91,924,072","88,668,572",0,"42,283,000","47,896,927",53.11%
29/06/2023,348,"147,572,000","-49,320,397","98,251,603","2,442,550",0,"100,694,153","92,936,653",0,"48,499,000","49,752,603",50.64%
30/06/2023,307,"133,231,800","-42,988,432","90,243,368","1,560,331",0,"91,803,699","88,785,699",0,"45,086,000","45,157,368",50.04%
01/07/2023,176,"80,103,178","-16,761,334","63,341,844","1,394,500",0,"64,736,344","61,512,594",0,"26,862,000","36,479,844",57.59%
02/07/2023,171,"76,708,560","-17,573,784","59,134,776","1,675,200",0,"60,809,976","58,980,876","-268,020","26,025,000","33,109,776",55.99%
03/07/2023,172,"85,961,100","-22,323,723","63,637,377","1,882,749",0,"65,520,126","60,854,026",0,"29,266,000","34,371,377",54.01%
04/07/2023,165,"82,347,000","-18,352,268","63,994,732","1,669,600",0,"65,664,332","58,968,032",0,"26,551,000","37,443,732",58.51%
05/07/2023,245,"109,799,000","-30,377,894","79,421,106","1,613,805",0,"81,034,911","79,687,911",0,"38,373,000","41,048,106",51.68%
06/07/2023,224,"104,020,000","-27,660,439","76,359,561","1,329,803",0,"77,689,364","76,500,364",0,"36,884,000","39,475,561",51.70%
07/07/2023,"1,240","539,118,100","-162,465,276","376,652,824","2,802,172",0,"379,454,996","373,269,496","-1,042,802","188,390,000","188,262,824",49.98%
08/07/2023,243,"115,950,150","-31,126,262","84,823,888","1,112,352",0,"85,936,240","81,762,940",0,"40,131,000","44,692,888",52.69%
09/07/2023,152,"73,564,650","-14,148,128","59,416,522","1,316,222",0,"60,732,744","57,796,744",0,"24,961,000","34,455,522",57.99%
10/07/2023,172,"90,627,700","-26,798,669","63,829,031","1,355,985",0,"65,185,016","63,053,016",0,"29,752,000","34,077,031",53.39%
11/07/2023,157,"87,324,100","-27,882,886","59,441,214","1,351,200",0,"60,792,414","58,249,914","-260,900","27,985,000","31,456,214",52.92%
12/07/2023,174,"83,983,500","-23,963,204","60,020,296","2,131,228",0,"62,151,524","54,008,074",0,"27,830,000","32,190,296",53.63%
